product_id,cmno,name,category_id,category,is_main,is_protein,price,calories,protein,fat,carb,sugar,sodium,n_servings,price_source
523,1200460,萬丹鮮乳290ml,16,乳製品,0,1,24,159.0,7.4,9.1,11.8,11.8,108.0,1,curated
524,1449040,東海大學高優質鮮乳946ml,16,乳製品,0,1,84,608.0,30.4,34.0,45.2,45.2,464.0,4,curated
525,2710016,林鳳營全脂鮮乳936ml,16,乳製品,0,1,75,471.0,23.1,26.7,34.5,34.5,324.0,3,curated
526,2710020,鮮乳坊桂芳鮮乳936ml,16,乳製品,0,1,83,636.4,30.0,37.6,44.8,43.2,376.0,4,curated
527,2710034,林鳳營全脂鮮乳1857ml,16,乳製品,0,1,150,1218.0,55.8,69.0,93.0,93.0,834.0,6,curated
528,2710052,乳香世家全脂鮮乳936ml,16,乳製品,0,1,75,617.7,30.9,34.5,45.9,45.0,420.0,3,curated
529,2710066,光泉全脂鮮乳1857ml,16,乳製品,0,1,150,1230.6,61.2,69.0,91.2,89.4,834.0,6,curated
530,2710143,萬丹鮮乳936ml,16,乳製品,0,1,75,477.0,22.2,27.3,35.4,35.4,324.0,3,curated
531,2710157,牧場直送4.0鮮乳900ml,16,乳製品,0,1,74,612.0,28.8,36.0,43.2,41.4,360.0,3,curated
532,2710175,瑞穗全脂鮮乳1858ml,16,乳製品,0,1,182,1210.0,59.0,69.0,89.0,89.0,780.0,10,curated
533,2710189,義美全脂鮮乳946ml,16,乳製品,0,1,84,656.0,30.8,37.2,49.6,48.8,400.0,4,curated
534,2710666,鮮乳坊許慶良鮮乳936ml,16,乳製品,0,1,83,636.4,30.0,37.6,44.8,43.2,376.0,4,curated
535,2716012,瑞穗全脂鮮乳930ml,16,乳製品,0,1,75,606.0,29.7,34.5,44.7,44.7,390.0,3,curated
536,2716030,光泉全脂鮮乳,16,乳製品,0,1,84,617.7,30.9,34.5,45.9,45.0,420.0,3,curated
537,2720013,乳香世家全脂鮮奶,16,乳製品,0,1,28,291.1,14.5,16.3,21.6,21.1,198.0,1,curated
538,2720027,林鳳營全脂鮮乳,16,乳製品,0,1,28,148.0,7.3,8.4,10.9,10.9,103.0,1,curated
539,2720045,乳香世家全脂鮮乳220ml,16,乳製品,0,1,20,145.3,7.3,8.1,10.8,10.6,99.0,1,curated
540,2720059,義美全脂鮮乳236ml,16,乳製品,0,1,21,154.0,7.3,8.7,11.7,11.5,94.4,1,curated
541,2720063,林鳳營全脂鮮乳338ml,16,乳製品,0,1,27,157.0,7.7,8.9,11.5,11.5,108.0,1,curated
542,2720095,鮮乳坊嘉明鮮乳,16,乳製品,0,1,28,139.0,6.7,8.0,10.1,9.7,84.0,1,curated
543,2720104,義美全脂鮮乳290ml,16,乳製品,0,1,24,190.0,9.0,10.7,14.3,14.1,116.0,1,curated
544,2720118,光泉全脂鮮乳,16,乳製品,0,1,28,191.5,9.6,10.7,14.2,13.9,131.0,1,curated
545,2720168,牧場直送鮮乳375ml,16,乳製品,0,1,29,255.0,12.0,15.0,18.0,17.3,150.0,1,curated
546,2740067,林鳳營低脂鮮乳936ml,16,乳製品,0,1,75,321.0,23.1,10.2,34.5,34.5,324.0,3,curated
547,2740112,光泉低脂鮮乳936ml,16,乳製品,0,1,75,429.6,30.9,13.2,46.8,45.9,345.0,3,curated
548,2750014,林鳳營低脂鮮乳338ml,16,乳製品,0,1,27,107.0,7.7,3.4,11.5,11.5,108.0,1,curated
549,2750105,光泉低脂鮮乳,16,乳製品,0,1,28,133.3,9.6,4.1,14.5,14.2,148.0,1,curated
550,2750119,瑞穗低脂鮮乳,16,乳製品,0,1,28,129.0,9.3,4.1,13.9,13.9,122.0,1,curated
551,2820170,光泉杯裝全脂鮮乳,16,乳製品,0,1,28,162.3,8.1,9.1,12.0,11.8,110.0,1,curated
552,3960739,鮮乳餅,18,點心零食,0,1,32,225.9,4.5,8.1,33.8,6.6,85.0,1,curated
